representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Budzinski,Democratic,IL,IL,355,0,0,27,0,382,382,7.1,92.9,0.0
Casten,Democratic,IL,IL,374,2,1,5,0,382,379,1.3,98.7,0.5
Davis (IL),Democratic,IL,IL,376,5,0,1,0,382,377,0.3,99.7,1.3
Foster,Democratic,IL,IL,369,0,1,12,0,382,381,3.1,96.9,0.0
García (IL),Democratic,IL,IL,375,5,0,2,0,382,377,0.5,99.5,1.3
Jackson (IL),Democratic,IL,IL,352,22,0,8,0,382,360,2.2,97.8,5.8
Kelly (IL),Democratic,IL,IL,373,7,0,2,0,382,375,0.5,99.5,1.8
Krishnamoorthi,Democratic,IL,IL,365,11,0,6,0,382,371,1.6,98.4,2.9
Quigley,Democratic,IL,IL,356,16,0,10,0,382,366,2.7,97.3,4.2
Ramirez,Democratic,IL,IL,371,9,0,2,0,382,373,0.5,99.5,2.4
Schakowsky,Democratic,IL,IL,368,13,0,1,0,382,369,0.3,99.7,3.4
Schneider,Democratic,IL,IL,353,9,1,19,0,382,372,5.1,94.9,2.4
Sorensen,Democratic,IL,IL,349,0,0,33,0,382,382,8.6,91.4,0.0
Underwood,Democratic,IL,IL,379,2,0,1,0,382,380,0.3,99.7,0.5
Carson,Democratic,IN,IN,374,5,0,3,0,382,377,0.8,99.2,1.3
Mrvan,Democratic,IN,IN,342,10,1,29,0,382,371,7.8,92.2,2.6
Davids (KS),Democratic,KS,KS,348,3,0,31,0,382,379,8.2,91.8,0.8
McGarvey,Democratic,KY,KY,378,1,0,3,0,382,381,0.8,99.2,0.3
Carter (LA),Democratic,LA,LA,370,5,0,7,0,382,377,1.9,98.1,1.3
Fields,Democratic,LA,LA,361,13,1,7,0,382,368,1.9,98.1,3.4
Auchincloss,Democratic,MA,MA,347,19,0,16,0,382,363,4.4,95.6,5.0
Clark (MA),Democratic,MA,MA,377,0,1,4,0,382,381,1.0,99.0,0.0
Keating,Democratic,MA,MA,356,17,0,9,0,382,365,2.5,97.5,4.5
Lynch,Democratic,MA,MA,355,9,0,18,0,382,373,4.8,95.2,2.4
McGovern,Democratic,MA,MA,374,8,0,0,0,382,374,0.0,100.0,2.1
Moulton,Democratic,MA,MA,336,38,0,8,0,382,344,2.3,97.7,9.9
Neal,Democratic,MA,MA,366,13,0,3,0,382,369,0.8,99.2,3.4
Pressley,Democratic,MA,MA,378,4,0,0,0,382,378,0.0,100.0,1.0
Trahan,Democratic,MA,MA,359,16,0,7,0,382,366,1.9,98.1,4.2
Elfreth,Democratic,MD,MD,376,0,0,6,0,382,382,1.6,98.4,0.0
Hoyer,Democratic,MD,MD,361,7,2,12,0,382,373,3.2,96.8,1.8
Ivey,Democratic,MD,MD,373,7,0,2,0,382,375,0.5,99.5,1.8
McClain Delaney,Democratic,MD,MD,355,8,0,19,0,382,374,5.1,94.9,2.1
Mfume,Democratic,MD,MD,368,12,0,2,0,382,370,0.5,99.5,3.1
Olszewski,Democratic,MD,MD,374,1,2,5,0,382,379,1.3,98.7,0.3
Raskin,Democratic,MD,MD,378,2,0,2,0,382,380,0.5,99.5,0.5
Golden (ME),Democratic,ME,ME,263,11,0,108,0,382,371,29.1,70.9,2.9
Pingree,Democratic,ME,ME,365,14,0,3,0,382,368,0.8,99.2,3.7
Dingell,Democratic,MI,MI,375,6,0,1,0,382,376,0.3,99.7,1.6
McDonald Rivet,Democratic,MI,MI,336,0,1,45,0,382,381,11.8,88.2,0.0
Scholten,Democratic,MI,MI,345,4,0,33,0,382,378,8.7,91.3,1.0
Stevens,Democratic,MI,MI,364,1,0,17,0,382,381,4.5,95.5,0.3
Thanedar,Democratic,MI,MI,369,2,0,11,0,382,380,2.9,97.1,0.5
Tlaib,Democratic,MI,MI,374,7,0,1,0,382,375,0.3,99.7,1.8
Craig,Democratic,MN,MN,360,1,0,21,0,382,381,5.5,94.5,0.3
McCollum,Democratic,MN,MN,377,1,2,2,0,382,379,0.5,99.5,0.3
Morrison,Democratic,MN,MN,374,1,0,7,0,382,381,1.8,98.2,0.3
Omar,Democratic,MN,MN,371,8,0,3,0,382,374,0.8,99.2,2.1
Bell,Democratic,MO,MO,365,8,1,8,0,382,373,2.1,97.9,2.1
Cleaver,Democratic,MO,MO,360,20,0,2,0,382,362,0.6,99.4,5.2
Thompson (MS),Democratic,MS,MS,369,8,0,5,0,382,374,1.3,98.7,2.1
Adams,Democratic,NC,NC,381,0,0,1,0,382,382,0.3,99.7,0.0
Davis (NC),Democratic,NC,NC,271,0,2,109,0,382,380,28.7,71.3,0.0
Foushee,Democratic,NC,NC,371,11,0,0,0,382,371,0.0,100.0,2.9
Ross,Democratic,NC,NC,377,0,1,4,0,382,381,1.0,99.0,0.0
Goodlander,Democratic,NH,NH,343,0,2,37,0,382,380,9.7,90.3,0.0
Pappas,Democratic,NH,NH,340,0,2,40,0,382,380,10.5,89.5,0.0
Conaway,Democratic,NJ,NJ,358,6,2,16,0,382,374,4.3,95.7,1.6
Gottheimer,Democratic,NJ,NJ,296,44,0,42,0,382,338,12.4,87.6,11.5
McIver,Democratic,NJ,NJ,381,1,0,0,0,382,381,0.0,100.0,0.3
Mejia,Democratic,NJ,NJ,31,0,0,1,0,32,32,3.1,96.9,0.0
Menendez,Democratic,NJ,NJ,378,0,0,4,0,382,382,1.0,99.0,0.0
Norcross,Democratic,NJ,NJ,315,59,0,8,0,382,323,2.5,97.5,15.4
Pallone,Democratic,NJ,NJ,375,2,1,4,0,382,379,1.1,98.9,0.5
Pou,Democratic,NJ,NJ,368,0,1,13,0,382,381,3.4,96.6,0.0
Sherrill,Democratic,NJ,NJ,94,102,0,7,0,203,101,6.9,93.1,50.2
Watson Coleman,Democratic,NJ,NJ,377,5,0,0,0,382,377,0.0,100.0,1.3
Leger Fernandez,Democratic,NM,NM,347,31,0,4,0,382,351,1.1,98.9,8.1
Stansbury,Democratic,NM,NM,373,8,0,1,0,382,374,0.3,99.7,2.1
Vasquez,Democratic,NM,NM,339,2,0,41,0,382,380,10.8,89.2,0.5
Horsford,Democratic,NV,NV,343,5,2,32,0,382,375,8.5,91.5,1.3
Lee (NV),Democratic,NV,NV,332,4,1,45,0,382,377,11.9,88.1,1.0
Titus,Democratic,NV,NV,328,39,1,14,0,382,342,4.1,95.9,10.2
Clarke (NY),Democratic,NY,NY,369,12,0,1,0,382,370,0.3,99.7,3.1
Espaillat,Democratic,NY,NY,375,4,0,3,0,382,378,0.8,99.2,1.0
Gillen,Democratic,NY,NY,309,11,1,61,0,382,370,16.5,83.5,2.9
Goldman (NY),Democratic,NY,NY,354,21,0,7,0,382,361,1.9,98.1,5.5
